Md;NN;EE;VV;NE;NV;EV;HH;LL;AA;HL;HA;LA
2760;208,2799;28,2156;16,1052;-50,9927;-3,5627;-10,0411;24,9723;221,7143;5,9142;-1,1572;4,7373;-0,3193
2790;219,8761;29,4306;16,8612;-53,9517;-3,7227;-10,4798;26,0499;234,0946;6,0235;-1,2091;4,8290;-0,3271
2820;231,7921;30,6758;17,6368;-56,9937;-3,8862;-10,9275;27,1525;246,8167;6,1355;-1,2621;4,9207;-0,3349
2850;244,0278;31,9512;18,4319;-60,1186;-4,0532;-11,3842;28,2801;259,8807;6,2502;-1,3163;5,0122;-0,3427
2880;256,5833;33,2568;19,2466;-63,3264;-4,2236;-11,8498;29,4326;273,2865;6,3676;-1,3717;5,1035;-0,3505
2910;269,4586;34,5927;20,0808;-66,6171;-4,3975;-12,3244;30,6101;287,0341;6,4879;-1,4283;5,1947;-0,3582
2940;282,6536;35,9589;20,9345;-69,9906;-4,5748;-12,8079;31,8126;301,1235;6,6109;-1,4860;5,2858;-0,3660
2970;296,1684;37,3554;21,8079;-73,4471;-4,7555;-13,3004;33,0401;315,5547;6,7369;-1,5449;5,3767;-0,3738
3000;310,0029;38,7823;22,7008;-76,9864;-4,9396;-13,8017;34,2925;330,3278;6,8658;-1,6050;5,4675;-0,3816
3030;324,1572;40,2396;23,6132;-80,6085;-5,1272;-14,3119;35,5699;345,4426;6,9976;-1,6663;5,5582;-0,3894
3060;338,6313;41,7273;24,5453;-84,3136;-5,3183;-14,8310;36,8722;360,8993;7,1324;-1,7287;5,6487;-0,3972
3090;353,4251;43,2454;25,4970;-88,1015;-5,5127;-15,3589;38,1995;376,6978;7,2702;-1,7923;5,7391;-0,4050
3120;368,5388;44,7939;26,4683;-91,9722;-5,7105;-15,8957;39,5518;392,8381;7,4111;-1,8570;5,8293;-0,4127
3150;383,9722;46,3730;27,4592;-95,9257;-5,9118;-16,4412;40,9291;409,3202;7,5551;-1,9230;5,9194;-0,4205
3180;399,7254;47,9826;28,4698;-99,9621;-6,1165;-16,9956;42,3313;426,1441;7,7023;-1,9901;6,0094;-0,4283
3210;415,7983;49,6227;29,5000;-104,0813;-6,3245;-17,5587;43,7585;443,3099;7,8526;-2,0583;6,0992;-0,4361
3240;432,1911;51,2934;30,5498;-108,2833;-6,5360;-18,1306;45,2107;460,8174;8,0062;-2,1278;6,1889;-0,4439
3270;448,9036;52,9948;31,6194;-112,5681;-6,7509;-18,7113;46,6879;478,6668;8,1631;-2,1984;6,2785;-0,4517
3300;465,9359;54,7267;32,7086;-116,9357;-6,9691;-19,3007;48,1900;496,8580;8,3232;-2,2701;6,3679;-0,4595
3330;483,2880;56,4894;33,8174;-121,3861;-7,1907;-19,8988;49,7171;515,3910;8,4868;-2,3431;6,4571;-0,4673
3360;500,9599;58,2827;34,9460;-125,9193;-7,4157;-20,5055;51,2691;534,2658;8,6537;-2,4172;6,5463;-0,4750
