Md;NN;EE;VV;NE;NV;EV
4710;1627,2174;171,2788;106,3074;-415,4476;-20,9530;-56,4930
4740;1659,6023;174,5201;108,3549;-423,7790;-21,3276;-57,4782
4770;1692,3071;177,7938;110,4228;-432,1927;-21,7054;-58,4710
4800;1725,3318;181,0998;112,5109;-440,6888;-22,0862;-59,4716
4830;1758,6764;184,4383;114,6193;-449,2671;-22,4702;-60,4798
4860;1792,3410;187,8092;116,7480;-457,9278;-22,8572;-61,4956
4890;1826,3254;191,2126;118,8971;-466,6708;-23,2474;-62,5190
4920;1860,6298;194,6485;121,0666;-475,4960;-23,6406;-63,5501
4950;1895,2541;198,1170;123,2564;-484,4036;-24,0369;-64,5887
4980;1930,1984;201,6182;125,4666;-493,3934;-24,4363;-65,6349
5010;1965,4626;205,1520;127,6972;-502,4654;-24,8387;-66,6885
5040;2001,0467;208,7185;129,9483;-511,6197;-25,2442;-67,7497
5070;2036,9507;212,3178;132,2197;-520,8562;-25,6528;-68,8183
5100;2073,1747;215,9498;134,5116;-530,1749;-26,0643;-69,8944
5130;2110,5032;219,6521;136,9035;-539,7938;-26,4844;-70,9975
5160;2149,6648;223,4254;139,3800;-549,9257;-26,9032;-72,0933
5190;2190,5294;227,2514;141,9374;-560,5388;-27,3175;-73,1745
5220;2232,9504;231,1133;144,5692;-571,5962;-27,7247;-74,2350
5250;2276,7655;234,9941;147,2680;-583,0564;-28,1219;-75,2687
5280;2321,7983;238,8763;150,0263;-594,8739;-28,5063;-76,2697
5310;2367,8592;242,7416;152,8358;-606,9993;-28,8753;-77,2317
5340;2414,7475;246,5723;155,6880;-619,3799;-29,2262;-78,1486
5370;2462,2526;250,3505;158,5737;-631,9601;-29,5566;-79,0144
5400;2510,1567;254,0584;161,4837;-644,6820;-29,8643;-79,8232
5430;2558,4505;257,7451;164,3559;-657,5255;-30,1601;-80,6003
5460;2607,2353;261,4687;167,2559;-670,5001;-30,4558;-81,3741
5490;2656,5112;265,2294;170,1836;-683,6057;-30,7525;-82,1477
5520;2706,2782;269,0272;173,1390;-696,8425;-31,0500;-82,9210
5550;2756,5363;272,8621;176,1222;-710,2102;-31,3485;-83,6941
5580;2807,2855;276,7340;179,1330;-723,7091;-31,6477;-84,4670
5610;2858,5259;280,6430;182,1716;-737,3390;-31,9479;-85,2396
5640;2910,2573;284,5891;185,2378;-751,1000;-32,2489;-86,0120
5670;2962,4798;288,5723;188,3318;-764,9921;-32,5508;-86,7842
5700;3015,1934;292,5926;191,4535;-779,0152;-32,8536;-87,5561
5730;3068,3981;296,6499;194,6029;-793,1693;-33,1573;-88,3278
5760;3122,0939;300,7443;197,7801;-807,4546;-33,4618;-89,0993
5790;3176,2808;304,8758;200,9849;-821,8709;-33,7672;-89,8705
5820;3230,9587;309,0443;204,2175;-836,4183;-34,0735;-90,6415
5850;3286,1278;313,2500;207,4777;-851,0967;-34,3806;-91,4123
5880;3341,7880;317,4927;210,7657;-865,9062;-34,6887;-92,1828
5910;3397,9393;321,7725;214,0814;-880,8468;-34,9975;-92,9531
5940;3454,5817;326,0894;217,4249;-895,9184;-35,3073;-93,7231
5970;3511,7152;330,4433;220,7960;-911,1211;-35,6180;-94,4930
6000;3569,3398;334,8344;224,1949;-926,4548;-35,9295;-95,2625
6030;3627,4554;339,2625;227,6214;-941,9197;-36,2419;-96,0319
6060;3686,0622;343,7277;231,0757;-957,5155;-36,5551;-96,8010
6090;3745,1601;348,2299;234,5577;-973,2425;-36,8693;-97,5699
6120;3804,7490;352,7693;238,0674;-989,1005;-37,1843;-98,3386
6150;3864,8291;357,3457;241,6048;-1005,0896;-37,5002;-99,1070
6180;3925,4003;361,9592;245,1700;-1021,2097;-37,8170;-99,8752
6210;3986,4625;366,6098;248,7628;-1037,4609;-38,1346;-100,6431
6240;4048,0159;371,2974;252,3834;-1053,8432;-38,4531;-101,4108
6270;4110,0604;376,0221;256,0317;-1070,3565;-38,7725;-102,1783
6300;4172,5959;380,7840;259,7077;-1087,0009;-39,0927;-102,9456
6330;4235,6226;385,5828;263,4114;-1103,7764;-39,4139;-103,7126
6360;4299,1403;390,4188;267,1428;-1120,6829;-39,7359;-104,4793
6390;4363,1492;395,2918;270,9020;-1137,7205;-40,0588;-105,2459
6420;4427,6491;400,2020;274,6889;-1154,8892;-40,3825;-106,0122
6450;4492,6402;405,1492;278,5034;-1172,1889;-40,7071;-106,7783
6480;4558,1223;410,1334;282,3457;-1189,6197;-41,0326;-107,5441
6510;4624,0956;415,1548;286,2157;-1207,1815;-41,3590;-108,3097
6540;4690,5599;420,2132;290,1135;-1224,8744;-41,6863;-109,0751
6570;4757,5153;425,3087;294,0389;-1242,6984;-42,0144;-109,8402
6600;4824,9619;430,4413;297,9920;-1260,6535;-42,3434;-110,6051
6630;4892,8995;435,6110;301,9729;-1278,7396;-42,6733;-111,3698
6660;4961,3282;440,8177;305,9815;-1296,9567;-43,0040;-112,1342
6690;5030,2481;446,0616;310,0178;-1315,3050;-43,3356;-112,8984
6720;5099,6590;451,3425;314,0818;-1333,7843;-43,6681;-113,6624
6750;5169,5610;456,6604;318,1735;-1352,3946;-44,0015;-114,4262
6780;5239,9541;462,0155;322,2930;-1371,1361;-44,3357;-115,1897
6810;5310,8384;467,4076;326,4401;-1390,0085;-44,6708;-115,9529
6840;5382,2137;472,8368;330,6150;-1409,0121;-45,0068;-116,7159
6870;5454,0801;478,3031;334,8176;-1428,1467;-45,3437;-117,4787
6900;5526,4376;483,8065;339,0479;-1447,4124;-45,6814;-118,2413
6930;5599,2862;489,3469;343,3059;-1466,8092;-46,0200;-119,0036
6960;5672,6259;494,9244;347,5916;-1486,3370;-46,3595;-119,7657
6990;5746,4567;500,5390;351,9051;-1505,9958;-46,6999;-120,5276
7020;5820,7786;506,1907;356,2462;-1525,7858;-47,0411;-121,2892
7050;5895,5916;511,8795;360,6151;-1545,7068;-47,3832;-122,0506
7080;5970,8957;517,6053;365,0117;-1565,7589;-47,7262;-122,8118
7110;6046,6909;523,3682;369,4360;-1585,9420;-48,0701;-123,5727
7140;6122,9772;529,1682;373,8881;-1606,2562;-48,4148;-124,3334
7170;6199,7546;535,0053;378,3678;-1626,7015;-48,7604;-125,0938
7200;6277,0231;540,8794;382,8752;-1647,2778;-49,1069;-125,8541
7230;6354,7827;546,7906;387,4104;-1667,9852;-49,4542;-126,6141
7260;6433,0334;552,7389;391,9733;-1688,8236;-49,8024;-127,3738
7290;6511,7752;558,7243;396,5639;-1709,7932;-50,1515;-128,1333
7320;6591,0081;564,7468;401,1822;-1730,8937;-50,5015;-128,8926
7350;6670,7320;570,8063;405,8282;-1752,1254;-50,8524;-129,6517
7380;6750,9471;576,9029;410,5020;-1773,4881;-51,2041;-130,4105
7410;6831,6533;583,0366;415,2034;-1794,9819;-51,5567;-131,1691
